Season,Week,N_Contestants,Eliminated,Converged,Rhat,Mean_Fan_Votes,Uncertainty
8,4,11,Holly Madison,True,1.0069340697057974,1388464.9452290495,0.8832531309406604
8,5,9,David Alan Grier,True,1.0015988560105598,1410636.7274195575,0.863334165725781
8,6,8,Steve-O,True,1.0009789232713875,1427715.3663444426,0.9130252927171951
8,7,7,Lawrence Taylor,True,1.0036718420154025,1459972.904281141,0.8699591153338462
8,8,6,Chuck Wicks,True,1.0054123217462134,1458905.1959516553,0.8136674512211123
8,9,5,Lil' Kim,True,1.0043776729568246,1461081.9766123265,0.793632566171617
8,10,4,Ty Murray,True,1.0032848227852322,1435011.7716372064,0.8387917548123857
9,1,16,Macy Gray,True,1.0019718502890307,1438435.89973222,0.8662578685033615
9,2,14,Kathy Ireland,True,1.002857366606796,1426109.838970339,0.8645074970246546
9,3,13,Debi Mazar,True,1.0037554352313331,1432366.0547936352,0.862548204905984
9,4,11,Chuck Liddell,True,1.0035842899560603,1470238.4329430542,0.860517143264774
9,5,10,Natalie Coughlin,True,1.0013236198878774,1466546.9338072129,0.8210477705997091
9,6,9,Louie Vito,True,1.002295268703809,1469243.527368893,0.8220943143792366
9,7,7,Michael Irvin,True,1.0043326424982641,1446606.6815211736,0.7938019149246678
9,8,5,Aaron Carter,True,1.0037708483516774,1452049.6689226974,0.797944144650639
9,9,4,Joanna Krupa,True,1.0011456636316538,1428059.960049636,0.7672036596074533
10,2,11,Shannen Doherty,False,1.0120519460780044,1414454.098652673,0.7719022553896299
10,3,10,Buzz Aldrin,True,1.001563791705438,1420885.7696815862,0.8561364728738907
10,4,9,Aiden Turner,True,1.0023432375771024,1441907.1269439543,0.8197763034077872
10,5,8,Kate Gosselin,True,1.0001880853748395,1442513.7448898111,0.8497757984775922
10,6,7,Jake Pavelka,True,1.0006114205502927,1482005.5926706898,0.8207514923896124
10,7,6,Pamela Anderson,True,1.0035355039466503,1480047.4016187226,0.7814254491639795
10,8,5,Niecy Nash,True,1.0011080162068364,1515996.1992623212,0.8149710421191909
10,9,4,Chad Ochocinco,True,1.0049307583924973,1563967.0676084748,0.7559020980606757
11,1,12,David Hasselhoff,True,1.0012997310187939,1462470.0468575845,0.8061158328467991
11,2,11,Michael Bolton,True,1.002968769656011,1457044.7272796072,0.810923931219135
11,3,10,Margaret Cho,True,1.0016762064873772,1478529.0388271161,0.7990277505131368
11,4,9,The Situation,True,1.0025896891197625,1468239.2878504023,0.7996612480371836
11,5,8,Florence Henderson,True,1.003610168254737,1475560.6778432503,0.7852710476113582
11,6,7,Audrina Patridge,True,1.0020181247440803,1547840.2034108303,0.7146554589642362
11,7,6,Rick Fox,True,1.00138464387462,1553184.7464892492,0.7299901793999056
11,8,5,Kurt Warner,True,1.0010930603654813,1505075.6356014211,0.7516643931026852
11,9,4,Brandy,True,1.001274257888239,1467576.4662449795,0.7103409683262889
12,2,11,Mike Catherwood,True,1.0022444755022422,1509029.6599221153,0.7651485223844706
12,3,10,Wendy Williams,True,1.00240565337674,1528378.3453994077,0.796178605354849
12,4,9,Sugar Ray Leonard,True,1.000870006258396,1535724.793196524,0.7289475866767385
12,5,8,Petra Nemcova,True,1.0007201560171466,1540673.1217004957,0.7707238593087804
12,6,7,Chris Jericho,True,1.0048435859553688,1542686.9376209327,0.7502003372848719
12,7,6,Kendra Wilkinson,True,1.0000545983745215,1543984.6630785142,0.7406888732083043
12,8,5,Romeo,True,1.002373751151381,1534137.7790366628,0.6926461895858192
12,9,4,Ralph Macchio,True,0.9996361499835758,1519712.129033672,0.7692614406773294
13,1,12,Metta World Peace (Ron),True,1.0019387726216373,1508449.925234597,0.7340816671931116
13,2,11,Elisabetta Canalis,True,1.0025322510899022,1504599.708988621,0.7101545277490587
13,3,10,Kristin Cavallari,True,1.0034527869859518,1524386.5339003794,0.7288588567309311
13,4,9,Chynna Phillips,True,1.0023046471016768,1528338.568112782,0.7222726382501777
13,5,8,Carson Kressley,True,1.000352021126313,1518760.2981774367,0.7442091226359764
13,6,7,Chaz Bono,True,1.0008210726830862,1516687.638330188,0.7420408047962657
13,7,6,David Arquette,True,1.002127261170021,1526979.5504183562,0.692998795644472
13,8,5,Nancy Grace,True,0.999905321726806,1539299.1498798686,0.73336346251615
13,9,4,Hope Solo,True,1.0015005133528883,1575948.9595892704,0.6992648616258721
14,2,12,Martina Navratilova,True,1.0010744345739595,1578474.0167950226,0.7240293528546738
14,3,11,Jack Wagner,True,1.0062141788344552,1586676.3461696254,0.7135532662677573
14,4,10,Sherri Sheperd,True,1.0004305277536858,1581032.8474186405,0.704913348309519
14,5,9,Gavin DeGraw,True,1.0017192081069382,1600038.4016391146,0.7139397492314085
14,6,8,Gladys Knight,True,1.000238512955365,1613992.9296909464,0.7244100989370956
14,7,7,Jaleel White,True,1.002676381659632,1574420.3649616502,0.6769492656985096
14,8,6,Melissa Gilbert,True,0.9997474353843118,1593423.9345220458,0.695647949130778
14,9,4,Maria Menounos,True,1.0013794984695232,1633787.3279709718,0.6457189279551651
15,1,13,Pamela Anderson,True,1.000609273563936,1618592.917772839,0.7060572653948147
15,2,12,Joey Fatone,True,1.001730019300736,1640524.073115128,0.6793790870164879
15,3,11,Drew Lachey,True,1.0011298956262566,1648333.1968712315,0.664244989193118
15,4,9,Bristol Palin,True,1.003208965529203,1669859.0639034682,0.6820007571270987
15,6,8,Sabrina Bryan,True,1.0011747634589778,1667978.0956264639,0.6358062115172645
15,8,7,Kirstie Alley,True,1.0018932682875448,1675393.596614998,0.6906108269652235
15,9,5,Emmitt Smith,True,1.0015634811855203,1713874.8385742777,0.6408619962664727
16,1,12,Alexandra Raisman,True,1.0028535644829653,1716672.1087250577,0.5485216589785475
16,3,11,Wynonna Judd,True,1.0005798448948096,1699582.8230307975,0.7024782071315504
16,4,10,Lisa Vanderpump,True,1.000580416139152,1679929.359557093,0.6930169702552229
16,5,9,D. L. Hughley,True,1.0022182666120556,1710109.3727493293,0.7033013054265219
16,6,8,Victor Ortiz,True,1.0007539678958197,1723302.9744071295,0.6531092246329215
16,7,7,Andy Dick,True,1.0010559313997265,1718706.1542109905,0.7197556100444518
16,8,6,Sean Lowe,True,1.0025728121755793,1743713.554083097,0.6935460107599739
16,9,5,Ingo Rademacher,True,1.0001400413278112,1785690.7119908289,0.6593834624219702
16,10,4,Alexandra Raisman,True,1.0004261924143287,1816873.903921414,0.6289128352611155
17,1,12,Bill Engvall,True,1.0043005507046332,1654953.213372376,0.6960464659393729
17,2,12,Keyshawn Johnson,True,1.0013009745667028,1658103.471031504,0.6936440262498569
17,3,11,Bill Nye,True,1.0025702173506814,1642088.2150553523,0.7164482850759061
17,4,10,Valerie Harper,True,1.0024507593278964,1647019.5042247742,0.7083939497707229
17,5,9,Christina Milian,True,1.002304664764956,1673923.196986532,0.635212444575687
17,7,8,"Nicole ""Snooki"" Polizzi",True,1.0024785381557186,1646585.6373283272,0.6529819744145435
17,8,7,Brant Daugherty,True,1.002146330301067,1646504.2851133985,0.6569418539800574
17,9,6,Elizabeth Berkley Lauren,True,1.0067858875517408,1656322.6719636747,0.6196651170102413
17,10,5,Leah Remini,True,1.0008381629658722,1671250.2320884448,0.6579445429106926
17,11,4,Bill Engvall,True,1.0007071016964335,1667815.7100274614,0.6645283020195152
18,1,12,James Maslow,True,1.0041961150940746,1783520.9908382103,0.6758535666171848
18,5,9,Cody Simpson,True,1.0089634370446987,1820534.8498916405,0.655793973540066
18,6,8,Drew Carey,True,1.000391846863783,1798534.6487955665,0.6766593327896042
18,7,7,NeNe Leakes,True,1.0007131329020087,1823783.625537427,0.6727339931936839
18,8,6,Danica McKellar,True,1.0014536805495493,1875212.650322736,0.6523203664070902
18,9,5,Charlie White,True,1.0029385398790003,1907282.7894968414,0.6174439721394014
18,10,4,James Maslow,True,1.0030468207106744,1849813.1728207048,0.6459042061065285
19,1,13,Bethany Mota,True,1.0048570743886251,1766706.887371786,0.5899659205681992
19,2,12,Tavis Smiley,True,1.0009845082295148,1749057.4088194333,0.6812538460070617
19,3,11,Randy Couture,True,1.0016980906250363,1743118.5737957084,0.6809740598647405
19,4,10,Betsey Johnson,True,1.0022216857491049,1732707.1047025248,0.6753955432263383
19,6,9,Jonathan Bennett,True,1.0030481765093249,1734702.2915573297,0.6663198097481107
19,7,8,Antonio Sabato Jr.,True,1.0006495750897837,1731463.51032131,0.6758573156514862
19,8,7,Michael Waltrip,True,1.0028091614604588,1737171.4482194835,0.6949651863628029
19,9,6,Lea Thompson,True,1.0011336939914823,1743808.2330599644,0.6343996715391765
19,10,5,Tommy Chong,True,1.0011413038268506,1757706.613414482,0.685592103542905
19,11,4,Bethany Mota,True,1.0031246043145219,1799944.1889437106,0.6422593131503381
20,2,12,Redfoo,False,1.0106233100492703,1832591.626042621,0.6529564317201769
20,3,11,Charlotte McKinney,True,1.0056106807651857,1832913.0239785435,0.6962897380807589
20,4,10,Michael Sam,True,1.005531383354995,1836928.9735332099,0.6449718122117767
20,5,9,Suzanne Somers,True,1.002091421927341,1833785.0667286625,0.6858717782075365
20,6,8,Patti LaBelle,True,1.001740505806363,1858937.5400429557,0.6482001208144114
20,7,7,Willow Shields,True,1.0039841688148317,1866064.9432598904,0.6277934770207441
20,8,6,Chris Soules,True,1.0019982044021953,1864593.9038663746,0.6667590750179578
20,9,4,Nastia Liukin,True,1.002620367433489,1886501.5492647474,0.6076938366772905
21,1,13,Carlos PenaVega,True,1.0014039668355523,1916595.9909946057,0.5225741336399212
21,2,13,Chaka Khan,True,1.0009909443508989,1856280.2874978664,0.6986447957850792
21,4,10,Gary Busey,True,1.001775631501659,1861995.3271404156,0.7036855518438567
21,6,9,Paula Deen,True,1.0017508406944624,1900784.0168334895,0.7103082295281734
21,7,8,Hayes Grier,True,1.0026630219734736,1889947.4798440677,0.6508109104905704
21,8,7,Andy Grammer,True,1.0003012773726743,1906185.449213524,0.6500778508556022
21,9,6,Alexa PenaVega,True,1.0015461262192242,1895562.0197322182,0.6114176901739838
21,11,4,Carlos PenaVega,True,1.0006479036337759,1892406.9959804637,0.6345378932577938
22,2,12,Geraldo Rivera,True,1.0009458261146487,1899015.8544133857,0.7018819415090012
22,3,11,Mischa Barton,True,1.0001932705409293,1921481.6955333136,0.6947178679477005
22,4,10,Marla Maples,True,1.0030368043452105,1972994.2865590602,0.6803376123206515
22,6,9,Doug Flutie,True,1.0032900604920907,1955501.249440535,0.6819562744927986
22,7,8,Von Miller,True,1.0015894356365778,1957994.650776272,0.6485794096256357
22,8,6,Jodie Sweetin,True,1.0042981998016207,1978805.7724756675,0.6293381816667668
22,9,5,Wanya Morris,True,1.0028209745349623,2006147.3541078786,0.6106715068337505
23,1,13,Terra Jole,True,1.0033645639640263,1966573.540487688,0.6800551410016287
23,2,13,Jake T. Austin,True,1.0032272248695466,1979904.1296748442,0.7005520513247819
23,3,12,Rick Perry,True,1.002959956682558,1976594.7407117754,0.690338477746276
23,4,11,Vanilla Ice,True,1.0032588158544267,1981678.4737650729,0.6689474713442359
23,6,9,Amber Rose,True,1.0036686652858486,2009544.0516283948,0.6853202831032945
23,7,8,Maureen McCormick,True,1.004160350464023,2047231.182601804,0.6658505887832611
23,8,7,Ryan Lochte,True,1.0024416718325975,2030718.3811834904,0.6549307197342211
23,9,6,Marilu Henner,True,1.0004390630783693,2041212.060872905,0.6765212626797629
23,10,5,Terra Jole,True,1.0027378300343168,2056663.8202952906,0.6438973245099682
23,11,4,Jana Kramer,True,1.0014491554589597,2114068.4813336837,0.668325020810536
24,2,12,Chris Kattan,True,1.0007524939837888,2044354.47754848,0.7044121748431956
24,3,11,Charo,True,1.0012770509127158,2071016.0321920314,0.7017127928151429
24,4,10,Mr. T,True,1.0010456616371863,2110020.5828161086,0.6978235696792698
24,5,9,Erika Jayne,True,1.0019461559981087,2133076.8508445304,0.6594014740588455
24,6,8,Heather Morris,True,1.0074578866894475,2149450.9277885295,0.6326053263561904
24,7,7,Nick Viall,True,1.001495997156381,2180035.0021230867,0.6599657147978633
24,8,5,Bonner Bolton,True,0.9998617064426348,2211062.2254496897,0.6898974813212347
24,9,4,Simone Biles,True,1.0014086800789879,2239023.635963249,0.5982756740839383
25,1,13,Drew Scott,True,1.000343585335176,2033770.279291256,0.6934542908674284
25,2,13,Debbie Gibson,True,1.0037580390614989,2046416.5885273258,0.6677302161862115
25,4,11,Derek Fisher,True,1.0027281580716418,2076206.7432027606,0.6619198433121484
25,5,10,Sasha Pieterse,True,1.0027658995148956,2076437.4310012334,0.6761855908599596
25,6,9,Nick Lachey,True,1.0025674302463257,2100405.7765497603,0.6843695785353672
25,7,8,Vanessa Lachey,True,1.000130292451719,2085171.0937289526,0.6580278205923664
25,8,6,Terrell Owens,True,1.0023666984178397,2054619.3160435886,0.6325159742261235
25,9,5,Victoria Arlen,True,1.0042517230227876,2047763.1879042354,0.611465145884604
25,10,4,Drew Scott,True,1.0009883028852733,2046214.4576766961,0.6416598654612359
26,1,10,Johnny Damon,True,1.002260427003541,2211551.6808775887,0.6846251503379127
26,2,8,Arike Ogunbowale,True,1.0029858262641151,2236591.681439769,0.6312355478335262
26,3,6,Mirai Nagasu,True,1.0045238061622894,2252232.672715181,0.6458726702026463
27,1,13,Nikki Glaser,True,1.005041333180399,2009724.0809643606,0.6821545010999184
27,2,12,Danelle Umstead,True,1.0014491244602353,2024726.6256316546,0.6888202264139176
27,3,11,Nancy McKeon,True,1.0039480726012708,2021922.2776513114,0.6962785629530583
27,4,10,Tinashe,True,1.0094572627538467,2055010.561970964,0.6009657614626234
27,6,9,Mary Lou Retton,True,1.0031776096105163,2036567.1343472637,0.6738850840598095
27,7,8,DeMarcus Ware,True,1.0041337417876923,2016793.6318279053,0.6412241913268171
27,8,6,Joe Amabile,True,1.0019827026902426,2002393.702827194,0.6818732779859569
28,1,12,James Van Der Beek,True,1.0071751269328422,2004170.225112424,0.713792274383585
28,6,9,Sailor Brinkley-Cook,True,1.0019047240685655,2010526.5100249466,0.7049180858673507
28,7,8,Karamo Brown,True,1.002340356930515,2005506.259640117,0.44767609880982584
28,8,7,Kate Flannery,True,1.0081241537684518,2012679.2043496533,0.5754238240176653
28,10,5,James Van Der Beek,False,1.0218552853608323,2055484.5699961833,0.46530788345042834
29,1,15,Johnny Weir,True,1.0046983468548114,2005644.8605244544,0.6313400446055222
29,8,8,Chrishell Stause,True,1.0095720791684182,2043348.0272401802,0.5573438937569941
29,9,7,AJ McLean,True,1.0032283248414413,2120393.014509705,0.39054064839421015
29,10,6,Johnny Weir,True,1.0075111574965108,2071053.0252309719,0.5877509225129116
30,3,14,Christine Chiu,False,1.016292799206661,2057938.7717101723,0.5740024937453896
30,5,11,Melanie C,True,1.0092441121233044,2098819.031627354,0.6387258995939146
30,8,8,Olivia Jade,False,1.020885865291648,2116260.80950805,0.494209500296237
30,9,6,Suni Lee,False,1.0112611602469255,2105104.10656089,0.6186439394176929
31,5,12,Joseph Baena,False,42579881115.68198,2021326.9403961115,0.48389777212732105
31,7,9,Jordin Sparks,False,3.3355889567810664,2031944.287973156,0.4120304410499639
31,9,6,Daniel Durant,False,1.0149030551305138,2022244.1125617123,0.5241765303140326
32,2,13,Jamie Lynn Spears,True,1.002373929190981,1975497.876160618,0.48435731107354774
32,4,11,Adrian Peterson,True,1.0052837055382593,1991561.399972701,0.5961031257521071
32,5,10,Mira Sorvino,True,1.0015754216083932,1973445.1599281232,0.4567545012995124
32,6,9,Mauricio Umansky,False,1.0150336696114999,2024368.9458816461,0.5464486771346235
32,7,8,Lele Pons,True,1.005052596121909,2002459.8566005419,0.6518843289095944
32,8,7,Barry Williams,True,1.0049021391213744,2018588.3139709402,0.5788546563787376
33,4,9,Brooks Nader,False,1.0176400299747634,2109013.048625067,0.5604633114091601
33,5,8,Phaedra Parks,False,1.0290902847916206,2108106.5944394763,0.4927088739887836
33,6,7,Jenn Tran,True,1.0090312897955471,2131796.651840984,0.6419256021653414
34,1,14,Whitney Leavitt,True,1.006408985973103,1977527.1703943417,0.7017397482125881
34,4,11,Hilaria Baldwin,True,1.0084299512415584,1994015.4324659498,0.5779724388616129
34,7,9,Jen Affleck,True,1.0023540019697532,2078636.0195645343,0.4366203277214392
34,8,8,Danielle Fishel,True,1.0046586485066449,2067667.5165179237,0.4429621371486718
34,10,6,Whitney Leavitt,True,1.0057144823687367,2034610.3401868101,0.6554711421942613
